id,type,category,date,title,summary,details,location,status
1,NEWS,館方快訊,2025/1/16,海龜復育計畫成果展,見證海龜寶寶的重返大海,本館海龜復育計畫喜獲成功！經過半年的細心照顧，5隻綠蠵龜寶寶已經成功成長，即將重返大海。本週末將舉行特別展示，讓大家近距離認識這些可愛的海龜寶寶，了解海龜保育的重要性。,淺水區,active
2,NEWS,館方快訊,2025/1/15,全新「珊瑚王國」展區開幕！,帶你潛入繽紛的珊瑚世界,親愛的海洋朋友們，太平洋珊瑚王國展區正式開幕啦！這裡有超過50種色彩繽紛的珊瑚，還有數百隻熱帶魚在珊瑚間游來游去。展區特別設計了海底隧道，讓大家感受被魚群環繞的奇妙體驗！此外，每個珊瑚展示區都配備了生動有趣的互動螢幕，點擊就能了解珊瑚的祕密生活！,深水區,active
3,NEWS,館方快訊,2025/1/14,「海洋保衛隊」會員招募開始,加入我們的海洋保育行動,想要成為海洋的守護者嗎？海洋保衛隊現在開始招募新成員！加入後可以參與海龜救援行動、海灘清潔活動，還能近距離觀察海洋生物！會員還可以獲得特製隊徽、專屬手冊，以及參加每月的特別活動。一起來守護美麗的海洋吧！,淺水區,active
4,NEWS,館方快訊,2025/1/12,企鵝寶寶報到！歡迎來看可愛新成員,南極館喜迎新生命,好消息！我們的帝王企鵝家族喜獲新成員啦！在專業飼育員的細心照顧下，企鵝寶寶健康成長中。牠現在最喜歡跟著爸媽搖搖晃晃地散步，萌樣讓人忍不住想要一直看著牠！歡迎大家來跟這個可愛的小傢伙打招呼。,企鵝區,active
5,NEWS,館方快訊,2025/1/11,夜宿海生館活動預告,與海洋生物共度奇幻之夜,想知道夜晚的海生館是什麼樣子嗎？本館推出「月光海洋夜未眠」活動！參加者可以體驗夜間餵食秀、觀察夜行性海洋生物，還能在水族箱前搭帳篷過夜，享受前所未有的海洋奇遇！,深水區,active
6,NEWS,館方快訊,2025/1/10,海洋科學實驗室開幕,動手做實驗，了解海洋科學,全新的海洋科學實驗室正式啟用！這裡設置了水質檢測區、顯微鏡觀察站、海洋生物解剖教室等。每週都會舉辦不同主題的實驗課程，讓大家透過親身操作了解海洋科學的奧秘。,淺水區,active
7,ACTIVITY,科教活動,2025/1/15,珊瑚生態探索工作坊,認識珊瑚的奧秘,配合珊瑚王國展區開幕，特別舉辦珊瑚生態探索工作坊！參加者可以使用顯微鏡觀察珊瑚結構，了解珊瑚礁生態系統，還能製作專屬的珊瑚模型帶回家！活動時間：13:00-15:00。,深水區,active
8,ACTIVITY,科教活動,2025/1/14,海龜守護者計畫,參與海龜保育工作,加入海龜守護者的行列！本活動將帶領大家認識海龜生態、了解海龜面臨的威脅，並實際參與海龜救援工作。完成培訓還能獲得海龜守護者證書！,淺水區,active
9,REPORT,相關報導,2025/1/15,海生館珊瑚復育計畫獲國際肯定,創新復育技術成功拯救瀕危珊瑚,本館珊瑚復育計畫在國際海洋保育研討會上受到高度關注。專家表示，本館開發的珊瑚培育技術不僅成功率高，更具有推廣價值，對全球珊瑚保育工作有重大貢獻。,深水區,active
10,REPORT,相關報導,2025/1/14,海洋環境教育典範：專訪海生館館長,創新教學方式獲教育部肯定,本館創新的海洋教育方式獲得教育部年度教學卓越獎。館長表示，透過互動科技與實體體驗的結合，能更有效地培養下一代的海洋意識。,深水區,active
11,NEWS,館方快訊,2025/1/9,海洋環保創意市集開幕,綠色生活從海洋開始,本週末，海洋環保創意市集要開幕囉！現場有可重複使用的環保餐具、海洋主題文創商品，還有工作坊教大家如何將海洋廢棄物變成藝術品。一起來逛市集，支持海洋環保！,舞台,active
12,NEWS,館方快訊,2025/1/8,鯨豚觀察季開跑,追尋海洋巨人的足跡,一年一度的鯨豚觀察季節來啦！本館特別安排了生態導覽員，帶領大家認識台灣常見的鯨豚species。還可以搭乘生態觀察船，近距離觀察這些海洋精靈！,深水區,active
13,NEWS,館方快訊,2025/1/7,海洋生物繪本創作工作坊,讓想像力遨遊海洋,喜歡畫畫的朋友們注意啦！本館邀請知名繪本作家來帶領海洋生物繪本創作。學習如何畫出生動的海洋生物，創作屬於自己的海洋故事。完成的作品還會在館內展出喔！,舞台,active
14,ACTIVITY,科教活動,2025/1/13,小丑魚家族觀察團,發現海葵與小丑魚的共生關係,快來加入小丑魚觀察團！我們將一起觀察小丑魚如何與海葵和諧共處，了解牠們之間奇妙的共生關係。活動包含顯微鏡觀察、互動遊戲，以及製作可愛的小丑魚手作。,深水區,active
15,ACTIVITY,科教活動,2025/1/12,深海生物大探秘,探索深海生態系統,準備潛入深海世界！透過特殊設備體驗深海環境，認識發光生物的特殊本領，了解深海生態系統的獨特性。還有深海生物標本展示與互動遊戲。,深水區,active
16,ACTIVITY,科教活動,2025/1/11,企鵝家族觀察日,南極冰原的可愛居民,近距離認識企鵝家族！觀察企鵝的日常生活、了解極地生態環境，參與企鵝餵食體驗。還能製作企鵝相框，留下難忘的回憶。,企鵝區,active
17,ACTIVITY,科教活動,2025/1/10,海洋環保小尖兵,從日常生活開始守護海洋,加入海洋環保小尖兵的行列！學習辨識海洋垃圾、了解塑膠污染的影響，動手製作環保酵素和海洋友善清潔劑。活動結束後獲得環保小尖兵勳章。,淺水區,active
18,REPORT,相關報導,2025/1/13,海龜救援中心年度成果發表,成功救援52隻海龜重返大海,本館海龜救援中心今年成果豐碩，成功救援52隻受傷或受困的海龜。透過專業的醫療照護和康復訓練，這些海龜已經重返大海。救援中心的成果獲得國際海龜保育組織的高度肯定。,淺水區,active
19,REPORT,相關報導,2025/1/12,鯨豚研究取得重大突破,發現新的鯨豚行為模式,本館研究團隊在鯨豚行為研究上有重大發現，首次記錄到台灣海域特有的鯨豚群體行為。這項研究成果已發表在國際知名期刊，對鯨豚保育工作具有重要意義。,深水區,active
20,REPORT,相關報導,2025/1/11,海洋環境監測網絡建置完成,即時掌握海洋環境變化,本館完成海洋環境監測網絡的建置，能夠即時監測水溫、鹽度等重要環境指標。這套系統對於了解氣候變遷對海洋生態的影響具有重要價值。,深水區,active
21,NEWS,館方快訊,2025/1/6,海洋音樂節預告,聆聽來自大海的樂章,首屆海洋音樂節即將登場！我們邀請了多位音樂家，用悅耳的音樂詮釋海洋的聲音。還特別製作了水下音樂廳，讓大家能在水中感受音樂的律動。,舞台,active
22,NEWS,館方快訊,2025/1/5,海洋環境教育成果展,守護海洋，從教育開始,一年來的海洋環境教育成果要與大家分享囉！展覽中可以看到學童們的海洋保育作品、淨灘活動的成果，還有許多創意環保發明。一起來看看這些守護海洋的成果吧！,淺水區,active
23,NEWS,館方快訊,2025/1/4,海洋生物特別餵食秀,認識海洋生物的飲食習性,週末特別活動！由專業的飼育員為大家示範如何餵食不同的海洋生物，了解牠們的飲食習慣和有趣的覓食行為。還有機會親手餵食小魚喔！,深水區,active
24,NEWS,館方快訊,2025/1/3,海洋攝影教學工作坊,捕捉海洋的精彩瞬間,想要拍出漂亮的海洋生物照片嗎？本館特別邀請專業水下攝影師，教導大家如何拍攝海洋生物。從構圖技巧到相機設定，讓您輕鬆拍出完美作品！,深水區,active
25,ACTIVITY,科教活動,2025/1/9,鯨豚生態觀察營,認識海洋中的大型哺乳類,走進鯨豚的世界！學習辨識不同種類的鯨豚、了解牠們的社群行為與溝通方式。使用水下聽音器聆聽鯨豚的叫聲，製作鯨豚生態筆記本。,深水區,active
26,ACTIVITY,科教活動,2025/1/8,珊瑚礁生態保育工作坊,守護海洋中的熱帶雨林,一起來了解珊瑚礁的重要性！活動包含珊瑚生態介紹、珊瑚白化現象解說，以及珊瑚培育實驗室參觀。還能製作3D珊瑚模型，體驗珊瑚復育的工作。,深水區,active
27,ACTIVITY,科教活動,2025/1/7,小小海洋科學家,進行有趣的海洋實驗,化身海洋科學家，進行一系列有趣的實驗！測量海水密度、觀察浮力現象、了解洋流的形成。動手製作水中噴泉，探索海洋物理特性。,淺水區,active
28,ACTIVITY,科教活動,2025/1/6,海龜護育體驗營,守護海龜的成長,體驗海龜照護工作！了解海龜的生活習性、食性及成長過程，參與餵食與照護工作。活動結束後可獲得海龜守護者認證。,淺水區,active
29,REPORT,相關報導,2025/1/10,國際海洋研究合作計畫啟動,跨國合作研究深海生態,本館與多國海洋研究機構展開合作，進行深海生態研究計畫。這項為期三年的計畫將探索深海生物多樣性，研究結果將對深海保育工作提供重要參考依據。,深水區,active
30,REPORT,相關報導,2025/1/9,海生館引進新型水質淨化系統,領先全球的環保技術,本館率先採用最新的水質淨化系統，不僅大幅提升水質，更減少能源消耗。這套系統的導入獲得國際水族館協會的讚賞，成為其他水族館的學習標竿。,深水區,active
